id;id_fonc;designation;description;quantite;prix_achat;prix_vente;prix_vente_gros;image;image_content_type;date
1;conglomeration Table driver;Assimilated compress Cambridgeshire;XSS logistical Movies;44007;79392;45322;87458;../fake-data/blob/hipster.png;image/png;2022-01-21T19:42:19
2;Namibie;c Soap;Plastic;75966;61480;34167;52158;../fake-data/blob/hipster.png;image/png;2022-01-22T10:42:25
3;deposit override;1080p;back;5204;51330;85581;77324;../fake-data/blob/hipster.png;image/png;2022-01-21T15:13:02
4;deposit Lepic emulation;Account Buckinghamshire;Fresh B2C Beauty;18100;27443;15922;1228;../fake-data/blob/hipster.png;image/png;2022-01-22T12:39:04
5;Granite a salmon;metrics Multi-channelled;Bedfordshire synergies;84030;48148;69539;2434;../fake-data/blob/hipster.png;image/png;2022-01-21T17:59:54
6;turquoise back-end;Frozen Movies;Persistent;3714;31911;51106;29677;../fake-data/blob/hipster.png;image/png;2022-01-21T21:06:05
7;Concrete;synergistic;Music connect;50030;20166;64202;94135;../fake-data/blob/hipster.png;image/png;2022-01-22T02:21:29
8;ability Keyboard Loan;grow target;calculate synthesize;11178;76771;65645;98134;../fake-data/blob/hipster.png;image/png;2022-01-22T02:25:57
9;Keyboard Gibraltar;up Soft;c;86388;49765;13302;47190;../fake-data/blob/hipster.png;image/png;2022-01-22T06:35:04
10;Licensed;initiative;Nicaragua microchip;54402;31544;27568;50656;../fake-data/blob/hipster.png;image/png;2022-01-22T08:05:57
